data,531991522936731,537217678919225,1624132905189814,441561441905563
quần âu xấu,0.0,0.0,0.0,0.0
sản phẩm xấu,0.0,0.0,0.0,0.0
shop có các loại quần nào nhỉ,1.0,1.0,1.0,1.0
các loại quần âu của shop,1.0,1.0,1.0,1.0
các loại quần,1.0,1.0,1.0,1.0
toàn bộ quần âu của shop,1.0,1.0,1.0,1.0
tất cả quần âu của shop,1.0,1.0,1.0,1.0
mình cần mua quần,1.0,1.0,1.0,1.0
mình cần mua quần màu đen,1.0,0.0,0.0,0.0
mình cần mua quần màu xám,0.0,1.0,1.0,0.0
mình cần mua quần màu be,0.0,0.0,0.0,1.0
các sản phẩm quần màu đen,1.0,0.0,0.0,0.0
các sản phẩm quần màu xám,0.0,1.0,1.0,0.0
các sản phẩm quần màu be,0.0,0.0,0.0,1.0
mình cần mua quần tối màu,1.0,1.0,0.0,0.0
mình cần mua quần sáng màu,0.0,0.0,1.0,1.0
mình cần mua quần dáng slim,1.0,1.0,1.0,0.0
mình cần mua quần dáng suông,0.0,0.0,0.0,1.0
mình cần mua quần đắt nhất,0.0,1.0,0.0,0.0
mình cần mua quần rẻ nhất,0.0,0.0,1.0,0.0
mình cần mua quần dễ phối đồ,1.0,1.0,1.0,0.0
mình cần mua quần lịch sự,1.0,1.0,1.0,0.0
mình cần mua quần cá tính,0.0,0.0,0.0,1.0
mình cần mua quần trẻ trung,1.0,0.0,1.0,1.0
mình muốn mua quần,1.0,1.0,1.0,1.0
mình muốn mua quần màu đen,1.0,0.0,0.0,0.0
mình muốn mua quần màu xám,0.0,1.0,1.0,0.0
mình muốn mua quần màu be,0.0,0.0,0.0,1.0
mình muốn mua quần tối màu,1.0,1.0,0.0,0.0
mình muốn mua quần sáng màu,0.0,0.0,1.0,1.0
mình muốn mua quần dáng slim,1.0,1.0,1.0,0.0
mình muốn mua quần dáng suông,0.0,0.0,0.0,1.0
mình muốn mua quần đắt nhất,0.0,1.0,0.0,0.0
mình muốn mua quần rẻ nhất,0.0,0.0,1.0,0.0
mình muốn mua quần dễ phối đồ,1.0,1.0,1.0,0.0
mình muốn mua quần lịch sự,1.0,1.0,1.0,1.0
mình muốn mua quần cá tính,0.0,0.0,0.0,1.0
mình muốn mua quần trẻ trung,1.0,0.0,1.0,1.0
mình gầy nên chọn bộ nào,0.0,0.0,0.0,1.0
mình béo nên chọn bộ nào,1.0,1.0,1.0,0.0
mình cân đối nên chọn bộ nào,1.0,1.0,1.0,1.0
tôi cần mua quần,1.0,1.0,1.0,1.0
tôi cần mua quần màu đen,1.0,0.0,0.0,0.0
