data,570000905376147,521552287338656,548638674560189,1367811854357932,511088151921641,539366852028757
mình cần mua bộ vest,1,1,1,1,1,1
mình cần mua bộ vest đẹp,1,1,1,1,1,1
toàn bộ sản phẩm vest,1,1,1,1,1,1
toàn bộ vest của shop,1,1,1,1,1,1
tất cả vest của shop,1,1,1,1,1,1
mình cần mua bộ vest màu xanh,0,0,0,0,0,1
mình cần mua bộ vest màu đen,1,0,0,1,0,0
mình cần mua bộ vest màu xám,0,1,1,0,1,0
mình cần mua bộ vest màu trắng,0,1,0,0,0,0
các sản phẩm vest màu xanh,0,0,0,0,0,1
các sản phẩm vest màu đen,1,0,0,1,0,0
các sản phẩm vest màu xám,0,1,1,0,1,0
các sản phẩm vest màu trắng,0,1,0,0,0,0
mình muốn mua bộ vest màu xanh,0,0,0,0,0,1
mình muốn mua bộ vest màu đen,1,0,0,1,0,0
mình muốn mua bộ vest màu xám,0,1,1,0,1,0
mình cần mua bộ vest sang trọng,1,1,1,1,1,1
mình cần mua bộ vest hiện đại,0,0,0,1,1,1
mình cần mua bộ vest tinh tế,0,1,0,0,1,0
mình muốn mua bộ vest sang trọng,0,0,0,1,1,1
mình muốn mua bộ vest tinh tế,0,1,0,0,1,0
mình cần mua bộ vest lịch lãm,1,1,1,0,0,0
mình muốn mua bộ vest lịch lãm,1,1,1,0,0,0
mình cần mua bộ vest dáng suông,1,1,1,0,0,0
mình cần mua bộ vest dáng slimfit,0,0,0,1,1,1
mình muốn mua bộ vest dáng suông,1,1,1,0,0,0
mình muốn mua bộ vest dáng slimfit,0,0,0,1,1,1
mình gầy nên chọn bộ nào,1,1,1,1,1,1
mình béo nên chọn bộ nào,1,1,1,1,1,1
mình cân đối nên chọn bộ nào,1,1,1,1,1,1
mình muốn mua bộ vest đi sự kiện,1,1,1,1,1,1
mình cần mua bộ vest đi sự kiện,1,1,1,1,1,1
mình thích màu tối giản nên chọn bộ nào,1,1,1,1,0,0
mình thích màu nổi nên chọn bộ nào,0,0,0,0,1,1
mình cần bộ mặc hàng ngày thì chọn bộ nào,1,1,1,1,0,0
mình muốn mua bộ vest giá rẻ nhất,0,0,1,0,0,0
mình muốn mua bộ vest giá đắt nhất,0,0,0,0,1,0
mình muốn mua bộ vest giá trung,1,0,0,1,0,0
tôi cần mua bộ vest màu xanh,0,0,0,0,0,1
tôi cần mua bộ vest màu đen,1,0,0,1,0,0
tôi cần mua bộ vest màu xám,0,1,1,0,1,0
tôi muốn mua bộ vest màu trắng,0,1,0,0,0,0
tôi muốn mua bộ vest màu xanh,0,0,0,0,0,1
tôi muốn mua bộ vest màu đen,1,0,0,1,0,0
tôi muốn mua bộ vest màu xám,0,1,1,0,1,0
tôi cần mua bộ vest sang trọng,1,1,1,1,1,1
tôi cần mua bộ vest hiện đại,0,0,0,1,1,1
tôi cần mua bộ vest tinh tế,0,1,0,0,1,0
tôi muốn mua bộ vest sang trọng,1,1,1,1,1,1
tôi muốn mua bộ vest hiện đại,0,0,0,1,1,1
tôi muốn mua bộ vest tinh tế,0,1,0,0,1,0
tôi cần mua bộ vest dáng suông,1,1,1,0,0,0
tôi cần mua bộ vest dáng slimfit,0,0,0,1,1,1
tôi cần mua bộ vest dáng slim,0,0,0,1,1,1
tôi muốn mua bộ vest dáng suông,1,1,1,0,0,0
tôi muốn mua bộ vest dáng slimfit,0,0,0,1,1,1
tôi muốn mua bộ vest dáng slim,0,0,0,1,1,1
tôi gầy nên chọn bộ nào,1,1,1,1,1,1
tôi béo nên chọn bộ nào,1,1,1,1,1,1
tôi cân đối nên chọn bộ nào,1,1,1,1,1,1
tôi muốn mua bộ vest đi sự kiện,1,1,1,1,1,1
tôi cần mua bộ vest đi sự kiện,1,1,1,1,1,1
tôi thích màu tối giản nên chọn bộ nào,1,1,1,1,0,0
tôi thích màu nổi nên chọn bộ nào,0,0,0,0,1,1
tôi cần bộ mặc hàng ngày thì chọn bộ nào,1,1,1,1,0,0
tôi muốn mua bộ vest giá rẻ nhất,0,0,1,0,0,0
tôi muốn mua bộ vest giá đắt nhất,0,0,0,0,1,0
tôi muốn mua bộ vest giá trung,1,0,0,1,0,0
chất liệu mặc thoáng mát,1,1,1,0,0,0
chất liệu mặc ôm vừa vặn,0,0,0,1,1,1
shop có những loại vest nào,1,1,1,1,1,1
mình cần mua loại áo vest đi đám cưới,1,1,1,1,1,1
sản phẩm nào đang là best seller của shop ạ,1,1,0,1,0,0
sản phẩm nào là bán chạy nhất của shop ạ,1,1,0,1,0,0
bộ nào có thể dùng để đi đám cưới,1,1,1,1,1,1
bộ vest này có phù hợp mùa hè không,1,1,1,0,0,0
bộ vest phù hợp cho mùa hè không,1,1,1,0,0,0
bộ vest để mặc mùa hè không,1,1,1,0,0,0
mình cần bộ vest có túi trong,1,1,1,1,1,1
bạn có bộ vest nào dành cho người lớn tuổi không,1,0,1,0,0,1
mình muốn mua bộ vest dành cho dân công sở,1,1,1,0,0,1
mình đang tìm bộ vest mặc vào mùa đông,1,1,1,1,1,1
có loại vest nào dễ giặt không,1,1,1,0,0,0
bộ vest có thể giặt máy không,1,1,1,0,0,0
bạn có màu nào nổi bật cho vest không,0,0,0,0,1,1
shop có sản phẩm mới không,0,0,0,1,1,1
mình muốn mua bộ vest vừa vặn với dáng chuẩn,1,1,1,1,1,1
bộ vest nào dễ phối đồ,1,1,1,1,1,0
bộ vest nào phù hợp cho người có dáng cao,0,1,0,0,1,0
mình cần vest để dự buổi hội nghị,1,1,1,1,1,0
bạn có bộ vest cho người trẻ không,1,1,1,1,1,0
bộ vest nào có giá ưu đãi nhất,0,0,1,1,0,0
